	GSM350771.CEL	GSM350771.CEL.gz	GSM350772.CEL	GSM350772.CEL.gz
10194_at	6.44846169238	6.44846169238	8.52280632718589	8.52280632718589
10195_at	1.62535449598263	1.62535449598263	2.15701521921199	2.15701521921199
10196_g_at	2.92417322008465	2.92417322008465	4.00165980469325	4.00165980469325
10197_at	1.94014401941579	1.94014401941579	3.14686209212974	3.14686209212974
10198_at	2.23281774888085	2.23281774888085	3.16411064399907	3.16411064399907
10199_at	1.7569205776702	1.7569205776702	1.61284019884668	1.61284019884668
10200_at	4.02647997748198	4.02647997748198	4.07469906277514	4.07469906277514
10201_at	2.42345920873053	2.42345920873053	2.49445989663256	2.49445989663256
10202_at	4.90324218795682	4.90324218795682	5.91937292348475	5.91937292348475
10203_at	4.96032668329377	4.96032668329377	3.32262490095236	3.32262490095236
10204_at	6.04896887681765	6.04896887681765	7.27019205696563	7.27019205696563
10205_at	5.46750324695531	5.46750324695531	6.33249316570319	6.33249316570319
10206_at	4.5019669228569	4.5019669228569	4.17994967964967	4.17994967964967
10207_at	5.67419013266882	5.67419013266882	5.73276137395805	5.73276137395805
10208_at	5.87807134666422	5.87807134666422	6.77384778001798	6.77384778001798
10209_at	2.04870014562157	2.04870014562157	2.47413012620001	2.47413012620001
10210_at	6.13543537863676	6.13543537863676	6.41694643386693	6.41694643386693
10211_at	5.8103537883699	5.8103537883699	6.84545944082039	6.84545944082039
10212_at	3.953216345924	3.953216345924	3.97881605669467	3.97881605669467
10213_at	3.49197178920036	3.49197178920036	4.54020286040076	4.54020286040076
10214_at	3.53555354480687	3.53555354480687	4.81363610951011	4.81363610951011
10215_at	5.44825320449973	5.44825320449973	4.35131447938797	4.35131447938797
10216_at	3.19010679113006	3.19010679113006	2.7226286196056	2.7226286196056
10217_at	3.63812686708191	3.63812686708191	3.16875808273925	3.16875808273925
10218_at	7.13534217824523	7.13534217824523	7.71167033869613	7.71167033869613
10219_at	8.25443179258276	8.25443179258276	7.8318214016521	7.8318214016521
10220_at	3.33404243549604	3.33404243549604	4.04426422387502	4.04426422387502
10221_at	2.62461237322767	2.62461237322767	2.86140454721597	2.86140454721597
10222_at	3.24874275053348	3.24874275053348	2.26991768741298	2.26991768741298
10223_at	5.3067094128557	5.3067094128557	4.18417018555482	4.18417018555482
10224_at	4.94450349966821	4.94450349966821	3.84520645323152	3.84520645323152
10225_at	3.58685953782038	3.58685953782038	2.90885375686231	2.90885375686231
10226_at	2.57960749468669	2.57960749468669	2.18776724236932	2.18776724236932
10227_at	6.73532003718983	6.73532003718983	5.14680353629939	5.14680353629939
10228_at	11.2557102173329	11.2557102173329	11.6284171421368	11.6284171421368
10229_at	13.5737789325838	13.5737789325838	13.6462947116903	13.6462947116903
10230_at	2.79447169748765	2.79447169748765	4.05073011048861	4.05073011048861
10231_at	5.11928318083906	5.11928318083906	5.71736121331812	5.71736121331812
10232_at	7.21613873025862	7.21613873025862	6.94451039631677	6.94451039631677
10233_at	2.07276499647126	2.07276499647126	1.77094905206824	1.77094905206824
10234_at	3.48420097422297	3.48420097422297	3.03843578385385	3.03843578385385
10235_at	5.02409027579697	5.02409027579697	5.88198163570661	5.88198163570661
10236_at	2.09295248191466	2.09295248191466	1.55782876812283	1.55782876812283
10237_at	5.89923216133837	5.89923216133837	7.30417806329593	7.30417806329593
10238_at	6.90144597986007	6.90144597986007	8.07031824227443	8.07031824227443
10239_at	11.9171225128452	11.9171225128452	11.6715547472359	11.6715547472359
10240_at	4.03386901386351	4.03386901386351	4.84645056807848	4.84645056807848
10241_at	4.80613856781901	4.80613856781901	4.65306727974251	4.65306727974251
10242_at	5.17635001012056	5.17635001012056	3.0143787635163	3.0143787635163
10243_at	5.3650658363708	5.3650658363708	4.75870145247931	4.75870145247931
10244_at	2.30620140248017	2.30620140248017	2.21403258436075	2.21403258436075
10245_at	2.86320477408046	2.86320477408046	4.05202491394522	4.05202491394522
10246_at	2.10168446047456	2.10168446047456	2.0783402349194	2.0783402349194
10247_at	8.32858897107437	8.32858897107437	9.16136318263375	9.16136318263375
10248_at	4.79049321429855	4.79049321429855	4.06938132007424	4.06938132007424
10249_at	5.17415512418967	5.17415512418967	4.32030286973531	4.32030286973531
10250_at	2.25712898950726	2.25712898950726	2.20962342739408	2.20962342739408
10251_at	5.09534547509706	5.09534547509706	4.99925115539207	4.99925115539207
10252_at	5.44307239986718	5.44307239986718	4.31645070423337	4.31645070423337
10253_at	9.72872216956954	9.72872216956954	10.3802961445367	10.3802961445367
10254_at	5.77225904621915	5.77225904621915	5.83180197856368	5.83180197856368
10255_at	3.94404634181811	3.94404634181811	5.62264842078588	5.62264842078588
10256_at	8.59550777834649	8.59550777834649	8.95190213507196	8.95190213507196
10257_at	5.3896802739995	5.3896802739995	4.71697069882304	4.71697069882304
10258_at	5.02345464927971	5.02345464927971	6.47902448441298	6.47902448441298
10259_at	6.55235696404924	6.55235696404924	7.51762326505838	7.51762326505838
10260_at	3.36592291250613	3.36592291250613	3.04093432857387	3.04093432857387
10261_at	4.45680778737597	4.45680778737597	3.7276167695752	3.7276167695752
10262_at	3.41589034311375	3.41589034311375	2.21445425509763	2.21445425509763
10263_at	2.75783237398119	2.75783237398119	3.2028309198405	3.2028309198405
10264_at	6.04456608151748	6.04456608151748	7.49633071844764	7.49633071844764
10265_at	10.6035964839838	10.6035964839838	11.1531239979353	11.1531239979353
10266_at	2.84443453273792	2.84443453273792	3.21567004063436	3.21567004063436
10267_at	10.2836857300869	10.2836857300869	10.6927521919811	10.6927521919811
10268_at	6.52389500068728	6.52389500068728	8.50522985727084	8.50522985727084
10269_at	9.97096769367149	9.97096769367149	9.41751596463151	9.41751596463151
10270_at	12.0452388132527	12.0452388132527	12.3144314199879	12.3144314199879
10271_at	2.97778639171446	2.97778639171446	4.45853992159331	4.45853992159331
10272_at	3.48815683491087	3.48815683491087	3.8095971338185	3.8095971338185
10273_at	6.66110385098086	6.66110385098086	6.3684142575653	6.3684142575653
10274_at	7.97934293633177	7.97934293633177	6.67753392286959	6.67753392286959
10275_at	6.92705084917303	6.92705084917303	6.50082347114003	6.50082347114003
10276_at	1.78240990178832	1.78240990178832	1.66981423748401	1.66981423748401
10277_at	2.75158540457185	2.75158540457185	3.02785911687759	3.02785911687759
10278_at	5.61822745480943	5.61822745480943	3.99747323662824	3.99747323662824
10279_at	4.952182842727	4.952182842727	6.28875399000179	6.28875399000179
10280_at	6.36653375473996	6.36653375473996	6.49438114270286	6.49438114270286
10281_at	4.67596466643112	4.67596466643112	5.06296689093584	5.06296689093584
10282_at	6.95710566634819	6.95710566634819	8.21404140460773	8.21404140460773
10283_at	1.58530426237394	1.58530426237394	1.81681754581305	1.81681754581305
10284_at	3.15493775709445	3.15493775709445	2.82728348693849	2.82728348693849
10285_at	2.52171557892106	2.52171557892106	2.37631595320686	2.37631595320686
10286_at	6.59223316788667	6.59223316788667	5.55165899158909	5.55165899158909
